,P@5,R@5,MAP@5,NDCG@5,P@10,R@10,MAP@10,NDCG@10,P@20,R@20,MAP@20,NDCG@20,P@50,R@50,MAP@50,NDCG@50,Hit_Rate,Coverage
Random,0.046383186705767354,0.011481200687318475,0.07481162430759204,0.04862428791338111,0.04541788856304986,0.02217670485770542,0.07950076270008746,0.050753874643912074,0.04550953079178886,0.04414445974327206,0.08027348669364907,0.05668560674310686,0.044670087976539596,0.10478814792335711,0.07450050001577571,0.07239507624077017,0.4426930596285435,1.0
Popularity,0.08699902248289346,0.024825907392463768,0.13315836455957422,0.09197549871908653,0.08521505376344087,0.04791377943558944,0.1386273441654186,0.09693707020872486,0.08322336265884651,0.09224326402848346,0.13614319293869018,0.10788892752576822,0.07629521016617792,0.20958732132945437,0.12490505647639608,0.13624347097970962,0.5994623655913979,0.1
Genre-Based,0.04007820136852395,0.008747131372133446,0.0645597439448246,0.04131771492579008,0.04231427174975562,0.01739645958605224,0.06906054312632333,0.04492213692560258,0.04235092864125122,0.03328700637791005,0.06986831722386327,0.049538319827478285,0.04618768328445748,0.09796834704559815,0.06844786820356848,0.06921970206012577,0.4327956989247312,0.428
Content-Based,0.05268817204301075,0.013342443894545041,0.09066437221679158,0.057344317224357025,0.052358260019550344,0.024644557394001284,0.09421997611021708,0.059587051931963314,0.05051930596285435,0.046106257327592035,0.09232229608358455,0.06396164548226484,0.04899315738025416,0.1113190753653038,0.08424122030572823,0.08020403395426437,0.45943304007820135,0.962
k-NN (k=20),0.06603128054740959,0.016344955640296335,0.10153891061149127,0.0687348111543946,0.06502932551319648,0.03316438824179272,0.1065042925614002,0.07248787538107221,0.062383919843597264,0.059264531283692946,0.10548819889172885,0.07806188372089706,0.059072764735727125,0.1401299941675011,0.09682508979462397,0.0978011632008882,0.5040322580645161,1.0
Matrix Factorization (f=50),0.08961388074291302,0.025731769667506288,0.1374363595633757,0.09535120058704351,0.08729227761485828,0.04984665203936766,0.1427198076607639,0.10001844738350524,0.08390762463343109,0.09572066981356926,0.13913878451884135,0.11039018320081578,0.07683773216031282,0.21049762025616858,0.12677720374057286,0.1381333390873442,0.6003176930596286,0.256
Hybrid,0.07959433040078201,0.020336111370340085,0.12100490795047246,0.08316036781798608,0.07726050830889541,0.04021692413277287,0.12613489881919063,0.08670819495994396,0.07513440860215055,0.0786834908283527,0.12368797260110627,0.0956743149270392,0.07074046920821116,0.18536514312654537,0.11324710528772856,0.12222955075518739,0.569770283479961,0.948
